current_name,abbrev,team_colours,second_colour,backup_team_colours,backup_second_colour,champ_colour,team_url
Athlone Town,ATH,navyblue,black,#E3001B,navyblue,#bdb76b,/wiki/Athlone_Town_A.F.C.
Bohemians,BOH,#fd1912,black,#E3001B,navyblue,#bdb76b,/wiki/Bohemian_F.C.
Bray Unknowns,UNK,#169b62,#ff883e,#E3001B,navyblue,#bdb76b,/wiki/Bray_Unknowns_F.C.
Bray Wanderers,WAN,#00954c,white,#E3001B,navyblue,#bdb76b,/wiki/Bray_Wanderers_F.C.
Brideville,BRI,#169b62,#ff883e,#E3001B,navyblue,#bdb76b,/wiki/Brideville_F.C.
Brooklyn,BRO,#169b62,#ff883e,#E3001B,navyblue,#bdb76b,/wiki/Brooklyn_F.C._(Dublin)
Cabinteely,CAB,#58bb47,white,#E3001B,navyblue,#bdb76b,/wiki/Cabinteely_F.C.
Cobh Ramblers,COB,#890d17,#002f50,#E3001B,navyblue,#bdb76b,/wiki/Cobh_Ramblers_F.C.
Cork,CORK,#018749,white,#E3001B,navyblue,#bdb76b,/wiki/Cork_F.C.
Cork Alberts,CORKALB,red,black,#E3001B,navyblue,#bdb76b,/wiki/Albert_Rovers_F.C.
Cork Athletic,CORKATH,green,white,#E3001B,navyblue,#bdb76b,/wiki/Cork_Athletic_F.C.
Cork Bohemians,CORKBOH,#169b62,#ff883e,#E3001B,navyblue,#bdb76b,/wiki/Cork_Bohemians_F.C.
Cork Celtic,CORKCEL,#fcce0d,#45a231,#E3001B,navyblue,#bdb76b,/wiki/Cork_Celtic_F.C.
Cork City,CORKCIT,#ed202b,#1d7c47,#E3001B,navyblue,#bdb76b,/wiki/Cork_City_F.C.
Cork City 1938,CORK38,#169b62,#ff883e,#E3001B,navyblue,#bdb76b,/wiki/Cork_City_F.C._(1938–1940)
Cork Hibernians,CORKHIB,green,white,#E3001B,navyblue,#bdb76b,/wiki/Cork_Hibernians_F.C.
Cork United,CORKUTD,green,white,#E3001B,navyblue,#bdb76b,/wiki/Cork_United_F.C._(1940–1948)
Derry City,DER,#ff0101,white,#E3001B,navyblue,#bdb76b,/wiki/Derry_City_F.C.
Dolphin,DOL,white,black,#E3001B,navyblue,#bdb76b,/wiki/Dolphin_F.C._(Ireland)
Drogheda United,DRO,#96c0e7,#7d0049,#E3001B,navyblue,#bdb76b,/wiki/Drogheda_United_F.C.
Drumcondra,DRU,#efde00,#006da0,#E3001B,navyblue,#bdb76b,/wiki/Drumcondra_F.C.
Dublin City,DUBCIT,#38396d,white,#E3001B,navyblue,#bdb76b,/wiki/Dublin_City_F.C.
Dublin United,DUBUTD,#169b62,#ff883e,#E3001B,navyblue,#bdb76b,/wiki/Dublin_United_F.C.
Dundalk,DUN,#c62423,black,#E3001B,navyblue,#bdb76b,/wiki/Dundalk_F.C.
Finn Harps,FIN,#152b83,#006d3f,#E3001B,navyblue,#bdb76b,/wiki/Finn_Harps_F.C.
Frankfort,FRA,black,white,#E3001B,navyblue,#bdb76b,/wiki/Frankfort_F.C.
Galway United,GAL,#6b1822,#7bacdc,#E3001B,navyblue,#bdb76b,/wiki/Galway_United_F.C.
Home Farm,HOM,#2588cb,#fcde2c,#E3001B,navyblue,#bdb76b,/wiki/Home_Farm_F.C.
Jacobs,JAC,#169b62,#ff883e,#E3001B,navyblue,#bdb76b,/wiki/Jacobs_F.C.
Kerry,KER,#145632,white,#E3001B,navyblue,#bdb76b,/wiki/Kerry_F.C._(Ireland)
Kildare County,KILD,white,black,#E3001B,navyblue,#bdb76b,/wiki/Kildare_County_F.C.
Kilkenny City,KILK,#efe700,black,#E3001B,navyblue,#bdb76b,/wiki/Kilkenny_City_A.F.C.
Limerick,LIM,#2a459c,white,#E3001B,navyblue,#bdb76b,/wiki/Limerick_F.C.
Longford Town,LON,#c31a1c,black,#E3001B,navyblue,#bdb76b,/wiki/Longford_Town_F.C.
Mervue United,MER,#790a35,#0296d2,#E3001B,navyblue,#bdb76b,/wiki/Mervue_United_A.F.C.
Midland Athletic,MID,#169b62,#ff883e,#E3001B,navyblue,#bdb76b,/wiki/Midland_Athletic_F.C.
Monaghan United,MON,#3c6ab3,#fae53c,#E3001B,navyblue,#bdb76b,/wiki/Monaghan_United_F.C.
Newcastle West,NEW,black,white,#E3001B,navyblue,#bdb76b,/wiki/Newcastle_West_Town_F.C.
Olympia,OLY,#169b62,#ff883e,#E3001B,navyblue,#bdb76b,/wiki/Olympia_F.C._(Dublin)
Pioneers,PIO,#3759bd,white,#E3001B,navyblue,#bdb76b,/wiki/Pioneers_F.C._(Dublin)
Rathmines Athletic,RAT,#169b62,#ff883e,#E3001B,navyblue,#bdb76b,/wiki/Rathmines_Athletic_F.C.
Reds United,RED,red,white,#E3001B,navyblue,#bdb76b,/wiki/Reds_United_F.C.
Salthill Devon,SAL,#96ECFF,navyblue,#E3001B,navyblue,#bdb76b,/wiki/Salthill_Devon_F.C.
Shamrock Rovers,ROV,#14872d,white,#E3001B,navyblue,#bdb76b,/wiki/Shamrock_Rovers_F.C.
Shamrock Rovers B,ROVB,#14872d,white,#E3001B,navyblue,#bdb76b,/wiki/Shamrock_Rovers_F.C._II
Shelbourne,SHEL,#e30a25,white,#E3001B,navyblue,#bdb76b,/wiki/Shelbourne_F.C.
Shelbourne United,SHELUTD,#169b62,#ff883e,#E3001B,navyblue,#bdb76b,/wiki/Shelbourne_United_F.C.
Sligo Rovers,SLI,#c40010,white,#E3001B,navyblue,#bdb76b,/wiki/Sligo_Rovers_F.C.
Sporting Fingal,SPO,#c8d336,black,#E3001B,navyblue,#bdb76b,/wiki/Sporting_Fingal_F.C.
St Patrick's Athletic,STPAT,#ed1c24,#deb408,#E3001B,navyblue,#bdb76b,/wiki/St_Patrick%27s_Athletic_F.C.
St. Francis,STFRA,#14872d,white,#E3001B,navyblue,#bdb76b,/wiki/St._Francis_F.C.
St. James's Gate,STJAM,#008944,red,#E3001B,navyblue,#bdb76b,/wiki/St_James%27s_Gate_F.C.
Thurles Town,THU,#0000ff,white,#E3001B,navyblue,#bdb76b,/wiki/Thurles_Town_F.C.
Transport,TRA,#2f4aa5,#da2d24,#E3001B,navyblue,#bdb76b,/wiki/Transport_F.C.
Treaty United,TRE,#dd1a32,white,#E3001B,navyblue,#bdb76b,/wiki/Treaty_United
University College Dublin,UCD,#0081c6,#004178,#E3001B,navyblue,#bdb76b,/wiki/University_College_Dublin_A.F.C.
Waterford,WAT,#393b5e,#facc0e,#E3001B,navyblue,#bdb76b,/wiki/Waterford_F.C.
Wexford,WEX,#55257a,#f9df4a,#E3001B,navyblue,#bdb76b,/wiki/Wexford_F.C.
YMCA,YMC,#169b62,"
#ff883e",#E3001B,navyblue,#bdb76b,/wiki/YMCA_F.C._(Dublin)
